48
stable:True satoms:48 tatoms:48 sratio:1.0
H 7.563072205 -2.458581448 27.162469864
H 12.263686180 -1.870594621 22.277091980
H 10.773050308 -4.196626663 23.140083313
N 10.518728256 -1.396443605 24.828050613
C 7.964377403 -1.579185009 22.138635635
C 11.632483482 -1.035200477 22.039346695
H 12.020996094 -2.843906879 24.581348419
C 11.310147285 -0.156982213 22.918474197
C 8.689080238 0.245934233 19.890554428
O 8.194043159 -1.816130638 24.623794556
C 8.508539200 -2.586470842 26.652519226
H 9.123187065 -3.251504421 27.228935242
H 7.773320675 0.816694081 21.814170837
H 12.392305374 -0.503141940 24.736761093
H 5.940220356 -0.984439909 21.503995895
H 6.698197365 1.046144724 20.385931015
C 7.447352886 0.410641342 20.865137100
H 6.741336346 -0.773987532 23.682786942
H 8.226658821 0.211984769 18.894645691
C 10.976244926 -0.910080969 20.639995575
H 8.918966293 -1.066302419 22.236915588
O 11.143573761 2.065551281 23.338117599
C 10.021236420 2.377499580 24.019720078
H 11.281024933 -1.849217534 20.208450317
H 9.291499138 1.147526622 20.008857727
H 7.000342846 -1.567376971 20.224716187
H 9.493059158 -1.480213046 19.223766327
H 9.234356880 2.651403904 23.312070847
C 10.169311523 -3.426974535 23.612487793
N 9.551342964 -0.875551224 20.013370514
H 8.125745773 -2.562556028 21.707487106
C 6.970908642 -0.963749528 21.142723083
H 9.639739037 1.564299822 24.641239166
H 10.273525238 3.235195160 24.642538071
O 10.868914604 1.066965222 22.412899017
H 11.356380463 0.046130352 20.295408249
C 7.322663307 -1.679483652 23.515289307
C 10.938324928 -2.776944876 24.760910034
C 8.202146530 -3.088510752 25.213268280
C 11.414657593 -0.676992297 24.275888443
C 8.930619240 -4.065011024 24.196022034
H 9.948992729 -2.687452555 22.851610184
H 8.232554436 -4.332446098 23.402751923
H 9.016272545 -1.628851056 26.526128769
H 7.284172535 -3.664850235 25.404180527
H 10.744018555 -3.320856333 25.692209244
H 9.174556732 -4.988699436 24.717252731
H 6.673289776 -2.564947367 23.511487961
