48
stable:True satoms:48 tatoms:48 sratio:1.0
H 9.036760330 -0.678040385 24.876417160
H 6.303395271 -2.273669958 25.478404999
C 5.916449547 -1.362967014 22.034029007
C 12.208898544 -0.565379560 24.093515396
C 7.730471134 -3.616521358 22.662115097
H 14.149782181 2.004364729 22.765035629
H 8.912060738 -2.607077837 25.715229034
H 9.992930412 -1.248763442 21.992616653
H 12.961668968 1.160935044 20.714746475
H 11.817437172 -1.171825886 24.936714172
H 7.294715881 -4.283800125 26.457017899
H 7.272218227 -5.083966255 24.896245956
H 6.740662098 -3.993914843 22.474224091
H 9.513545990 -3.788481712 24.585315704
N 7.263868332 -0.959750772 22.141012192
C 7.085924625 0.018779693 21.143949509
H 5.181272984 0.685867906 21.934253693
H 10.386624336 -2.137229204 23.412565231
H 7.554485321 1.006021380 21.340476990
H 5.671784401 -3.352202415 24.217008591
C 5.666733742 -0.119783118 21.341711044
N 13.179110527 2.019922733 22.546897888
H 12.879701614 0.199989244 24.486967087
C 8.903399467 -0.599814773 23.779233932
C 13.334112167 -0.564892292 21.914752960
H 5.066218376 -0.274158567 20.432291031
O 10.490468979 0.784608722 21.039041519
C 12.748454094 0.852801085 21.749912262
N 7.733283520 -1.304091215 23.434545517
H 5.339761734 -1.480967641 22.957223892
H 5.716320515 -2.236035347 21.389385223
H 13.064032555 -1.121953368 21.018779755
H 7.509268761 -0.313110948 20.191848755
H 8.769617081 0.456758499 23.491199493
C 7.696767330 -2.672017813 23.846481323
C 11.296275139 0.645628512 21.939052582
H 8.151245117 -3.111243248 21.805362701
H 10.621337891 0.829152584 23.924331665
H 12.541250229 2.144627094 23.308032990
C 11.033779144 0.028181333 23.311056137
C 6.576848984 -3.052254200 24.757423401
H 14.404206276 -0.454638273 22.005048752
C 8.598996162 -3.319985390 24.953369141
C 7.390992641 -4.109477520 25.378185272
H 8.328180313 -4.501036167 22.895307541
C 10.104653358 -1.154979587 23.066400528
O 12.959382057 -2.629684687 23.163099289
C 12.879872322 -1.438216448 23.114665985
