48
stable:True satoms:48 tatoms:48 sratio:1.0
H 13.767921448 -1.362143278 23.846990585
C 5.797258377 0.762132227 18.417919159
C 5.018051147 1.300645113 19.289361954
H 5.255564213 1.667820930 21.373117447
C 5.734013557 1.314895034 20.492061615
C 7.042935848 0.919336200 20.437185287
C 11.767843246 -1.818680406 23.159677505
C 10.478796959 -1.835542798 23.962574005
C 11.100676537 0.988478363 23.787185669
C 12.536223412 0.408984363 23.313812256
N 9.363405228 -0.593485415 21.291484833
H 8.478584290 -1.050733447 21.134403229
O 7.501488209 0.066288099 19.528171539
H 7.407751560 -0.311588496 17.557159424
C 13.087710381 -1.024366736 23.101564407
C 9.447251320 0.700590789 21.762559891
C 6.916907310 0.160323411 18.348693848
H 4.049885273 1.643194437 19.077297211
C 8.135158539 1.468720913 21.397596359
H 6.930706024 -4.469125748 26.449937820
H 8.168964386 -2.993945360 24.870456696
H 8.972672462 -2.668482542 22.689672470
O 11.649069786 -1.954516172 24.455614090
H 11.060210228 0.662064850 24.801193237
H 13.160065651 0.845942855 24.058765411
H 12.659141541 0.802555323 22.334379196
H 13.551015854 -1.151371241 22.153366089
H 11.625503540 -2.269541740 22.205236435
C 9.092301369 -3.525129318 24.696802139
H 9.751451492 -5.551245213 26.550033569
H 8.337969780 -3.626691341 27.155118942
H 7.711509228 -5.078876019 27.820943832
O 7.904294491 2.493156910 21.985296249
H 9.169958115 1.773861885 23.483421326
H 10.240325928 1.262740016 21.251747131
H 11.257737160 2.051552296 23.703330994
H 9.094783783 0.048510645 23.729953766
C 9.651069641 0.828697860 23.274747849
H 9.856868744 -1.316973805 24.750524521
H 9.834093094 -3.253134012 25.459640503
C 9.682887077 -2.994702578 23.411060333
H 10.102038383 -1.206045747 21.536239624
N 8.930495262 -4.913619518 24.739101410
C 7.903958797 -4.576323509 26.911684036
C 8.788515091 -5.471291065 26.082960129
H 8.384675980 -6.470159054 25.992715836
H 9.316527367 -5.593373775 24.178873062
H 10.302985191 -3.833698750 23.100868225
