31
stable:True satoms:31 tatoms:31 sratio:1.0
H 9.020528793 -4.301144600 26.630743027
H 9.464272499 -1.532661080 23.124835968
H 10.392975807 -2.419640541 24.230041504
H 11.448711395 -1.112557411 22.037700653
N 10.071219444 -0.320718765 24.646810532
H 10.890050888 -0.088901863 27.109375000
H 12.113753319 -0.115031190 23.268140793
H 12.464070320 -2.720998049 24.088712692
C 10.345959663 -1.446907282 23.754783630
H 9.002757072 -4.022889614 24.855131149
C 8.452574730 -4.060328484 25.760604858
C 7.788548946 -2.669167995 25.930133820
H 7.703639030 -4.831415653 25.678962708
H 13.515887260 -1.890158772 22.962928772
H 6.677992344 3.223488092 28.921415329
O 7.582692146 1.948658824 27.837076187
C 6.747548103 2.158967972 28.892122269
H 7.129301071 1.787792444 29.830802917
H 5.803153038 1.642051697 28.704299927
H 10.831455231 0.313200444 24.789573669
C 10.614914894 -1.067720294 26.723812103
H 10.306797028 -1.799291253 27.431631088
C 11.661644936 -1.111440182 23.076839447
C 9.528893471 -0.929639399 25.728443146
N 8.356241226 -1.441051364 25.749492645
N 7.344190121 -0.210054830 27.756465912
N 8.000591278 0.774156153 27.439693451
N 12.705298424 -2.001442194 23.506341934
H 11.488730431 -1.457941175 26.223628998
O 6.607331753 -2.659981251 26.084892273
H 6.935727596 -0.863399208 27.158575058
