31
stable:True satoms:31 tatoms:31 sratio:1.0
N 6.504672527 -2.522134781 25.549251556
H 9.989554405 -3.642695904 24.267166138
N 9.671458244 -2.267307281 26.017559052
H 8.999641418 -0.564606667 23.306936264
C 11.014743805 -1.088991284 23.389173508
H 11.779279709 0.047957532 25.430049896
H 13.361727715 -0.195019335 24.971189499
C 12.131265640 -1.622383118 24.289978027
H 10.882070541 -1.788348198 22.581657410
C 7.536866665 -2.214279175 25.097908020
H 10.126679420 -4.221744537 26.565029144
H 8.445989609 -4.037515163 26.068626404
H 8.926710129 -3.442864895 27.617280960
H 12.978638649 -1.905789018 23.654806137
H 8.149136543 2.782059431 28.387617111
H 7.026115894 1.986554027 29.528144836
H 6.382519245 3.038429499 28.295038223
O 7.087869644 1.246863365 27.604248047
C 6.926480293 0.048673384 28.159149170
H 11.378617287 -0.136051416 22.981399536
H 9.787824631 -0.042488262 24.820497513
H 11.761276245 -2.478278637 24.869338989
C 9.693786621 -0.838783205 24.088624954
C 8.996690750 -2.053693056 24.811513901
H 9.557957649 -1.465724349 26.642005920
H 7.841372490 -0.449921221 28.412483215
C 7.171970844 2.311026573 28.505462646
N 12.500533104 -0.634209514 25.234767914
O 9.264469147 -3.092118263 23.944074631
C 9.262371063 -3.541094303 26.587270737
O 5.859161377 -0.441687375 28.255758286
