31
stable:True satoms:31 tatoms:31 sratio:1.0
H 7.079019547 -4.800909042 26.183036804
C 8.114608765 -3.373301268 25.039831161
H 10.039583206 -2.523875952 23.444591522
H 12.169085503 -1.090399146 22.425861359
N 12.902624130 -0.388604879 24.882272720
H 11.890798569 1.086404324 23.866260529
C 11.740528107 0.054001845 24.196226120
H 10.575304985 -0.561277747 22.493473053
H 10.866142273 0.070320770 24.831514359
O 8.071864128 -3.785517454 23.934183121
N 7.914459705 -4.240739822 26.107841492
O 9.549837112 -2.149455309 27.055562973
H 8.140610695 -3.855592251 26.997617722
H 13.642305374 -0.367304236 24.183599472
H 8.141900063 2.297507286 28.971212387
C 6.433112144 1.404155493 29.611698151
H 6.213405609 2.197300196 30.312150955
Cl 5.352244377 0.118181184 29.581447601
C 7.538722515 1.416263223 28.840850830
C 11.360511780 -0.931218386 23.119169235
C 8.660713196 -1.561017036 26.534986496
H 11.697668076 -2.988742590 23.710882187
H 12.755458832 -1.363762736 25.116968155
H 8.328882217 -1.386502743 24.523252487
H 6.740261078 -0.820741832 27.035617828
H 9.122476578 0.732162535 27.723627090
C 7.756348133 -0.563636482 27.199073792
C 10.974579811 -2.210060120 23.856218338
H 10.859505653 -2.132171869 24.941665649
N 8.250622749 -1.993842483 25.304777145
C 8.114268303 0.486211151 27.908531189
