31
stable:True satoms:31 tatoms:31 sratio:1.0
H 7.747863770 -4.008197784 26.719898224
C 8.639358521 -1.099830866 25.804147720
C 10.548151970 -2.330990076 23.930162430
C 11.717644691 -2.737615347 23.087303162
C 12.029013634 -0.297717154 24.147897720
H 12.495402336 -0.267301500 23.182676315
H 12.712871552 -2.521485806 23.508348465
H 12.668079376 -0.889597654 24.787425995
H 10.073922157 -0.433098733 23.307344437
H 7.109829426 -2.031991243 26.905099869
H 9.531810760 -3.952986479 26.638126373
H 8.593762398 -1.728537917 27.856311798
N 8.615445137 -3.676868200 26.335281372
H 11.671708107 -3.787273407 22.921781540
H 7.587809086 2.829682350 29.333030701
C 7.652473927 1.152931094 28.418706894
H 6.153550625 2.244996786 29.806549072
N 6.959352016 1.990761876 29.229888916
O 5.874679565 -0.290288508 28.059120178
H 11.933581352 0.709767103 24.518501282
O 10.587726593 0.160291731 26.251501083
C 10.034801483 -0.612291932 25.494888306
C 10.625402451 -0.887254000 24.127634048
C 8.614177704 -2.588321924 25.349878311
C 7.868283749 -1.270151377 27.164978027
O 8.778155327 1.334004521 28.089345932
H 8.067474365 -0.154622644 25.563812256
H 11.694184303 -2.187754869 22.164281845
N 9.692154884 -3.011417150 24.549091339
H 7.665688992 -2.701327562 24.819892883
C 7.053096294 -0.181678399 27.861095428
