36
stable:True satoms:36 tatoms:36 sratio:1.0
N 8.117014885 -0.746445417 27.472009659
N 10.254494667 -0.348419487 25.884700775
C 10.037393570 -2.891556978 23.188858032
C 12.342241287 -0.024628306 24.508760452
H 13.235651016 0.494473875 24.161514282
C 7.111172199 1.309743524 27.599512100
H 13.473509789 -1.591581106 25.260213852
C 10.717722893 -3.363629818 24.209272385
C 12.614466667 -1.525865555 24.589885712
H 9.378856659 -3.487478733 22.593944550
H 10.362401962 -2.271503687 26.882112503
C 9.449886322 -1.156657457 25.168962479
H 10.595486641 -4.383374691 24.519191742
H 9.535116196 -1.271245360 21.906774521
O 7.092014313 2.657872915 27.682470322
C 5.837961674 0.735909700 28.037189484
H 5.116842747 1.290677071 28.617698669
H 6.510552406 2.813390017 28.458810806
H 9.837518692 0.251865983 26.540906906
O 9.541337967 -0.645302355 23.805013657
C 11.545718193 -2.524127483 25.112854004
H 12.123329163 0.332852066 25.502580643
H 11.526837349 0.241213381 23.857389450
C 10.101770401 -1.433119655 22.827981949
N 8.103707314 0.586756051 27.213388443
H 6.881180286 -1.779764533 28.744726181
C 5.702722073 -0.506882727 27.616033554
H 11.131918907 -1.153707623 22.609657288
H 8.391706467 -1.460614920 25.243783951
C 10.453679085 -1.731364012 25.945323944
H 6.815401554 -2.205340147 27.004518509
H 12.076869011 -3.220106363 25.755546570
H 4.803130150 -0.910181761 27.208215714
H 12.933329582 -1.894290924 23.620269775
H 9.005682945 -1.059660554 27.716041565
C 6.881827354 -1.400101304 27.726932526
