36
stable:True satoms:36 tatoms:36 sratio:1.0
H 9.015289307 -3.664225340 23.744649887
H 9.371882439 0.642782152 24.112447739
C 10.861232758 -4.500776291 23.590568542
C 10.820841789 -4.972778797 25.046506882
H 11.252317429 -4.199969769 25.676752090
N 9.935148239 -3.454626322 23.327119827
H 11.326826096 -1.931056976 22.961782455
H 11.276040077 0.323687464 26.098789215
O 10.512110710 -1.663125277 24.747850418
H 9.582334518 -1.522801876 22.862442017
C 9.265172958 -1.140532970 26.799768448
H 8.429514885 -1.911052585 24.988327026
H 8.371584892 -1.448115110 27.356769562
H 11.894144058 -4.167563438 23.365255356
H 8.161144257 2.082227707 26.783693314
H 6.119658947 1.025562048 27.429141998
C 7.945703030 1.032613754 26.538568497
C 7.434864998 0.686047137 28.834291458
N 6.972388744 0.472754359 27.463945389
C 10.352528572 0.912600398 26.020606995
C 10.146924019 1.264120698 24.566318512
H 11.394237518 -5.874178886 25.136205673
N 9.158548355 0.233816713 26.441726685
H 9.795193672 -5.182871819 25.365509033
C 10.333989143 -2.099367619 23.424522400
H 9.450612068 -3.028431892 25.911571503
H 8.499120712 0.458422214 28.944845200
H 11.079176903 1.080934763 24.023799896
H 10.466753006 1.792194963 26.656450272
H 7.515575409 0.978938162 25.530393600
C 9.360116959 -2.006097317 25.564487457
H 9.867263794 2.305841208 24.480865479
H 6.846999645 0.000796696 29.442428589
H 7.305106640 1.711923838 29.217569351
H 10.171497345 -1.290298581 27.404714584
H 10.603502274 -5.338434219 22.930858612
