36
stable:True satoms:36 tatoms:36 sratio:1.0
H 10.022418022 -4.408237457 23.915716171
H 9.043034554 -3.909439087 25.807067871
C 7.336139202 0.892423391 26.704589844
C 8.586055756 1.758451939 26.889770508
O 7.020835876 -0.144031867 25.912822723
C 12.177394867 -0.866725028 25.471010208
C 8.452535629 -1.953253031 25.401075363
C 9.195304871 -0.837909400 24.698770523
H 11.393388748 -2.098126888 23.314105988
H 9.140000343 -0.858895183 23.628133774
H 8.131193161 -2.576496601 27.422330856
O 11.439792633 -3.020034313 26.237501144
H 9.574968338 -1.619300604 27.207620621
H 11.140794754 0.123584531 26.560104370
H 9.037663460 1.574223876 27.857763290
H 10.399205208 1.859436631 25.943048477
H 8.352772713 2.827706099 26.911378860
H 7.163206100 0.578040957 29.029422760
H 6.468332767 1.505383253 26.988412857
H 9.077952385 1.778047919 24.796020508
C 11.500119209 -2.238487482 25.308164597
N 9.794054031 -0.021608675 25.400487900
C 7.552547455 -0.362440675 28.642322540
N 10.958766937 -2.539411545 24.108375549
H 6.819875717 -1.117759943 28.931402206
H 7.386315823 -1.884321690 25.149171829
C 7.671598911 -0.435691893 27.117578506
H 13.250988007 -0.961345553 25.367277145
H 8.528898239 -0.538809180 29.089712143
O 11.841790199 -0.476386845 26.795619965
C 9.472904205 1.363815546 25.712131500
H 11.848222733 -0.133582711 24.725528717
H 9.228797913 -3.030187845 23.103401184
N 8.833795547 -3.260755539 25.091104507
C 9.765235901 -3.357336521 23.995931625
C 8.544910431 -1.718565345 26.902860641
