36
stable:True satoms:36 tatoms:36 sratio:1.0
H 9.945528030 -4.810558796 24.513376236
C 11.253471375 -3.054288626 26.125480652
C 9.743097305 -3.207583666 25.909250259
H 11.424013138 -1.292546034 23.534687042
H 8.801008224 1.578419924 26.365543365
H 12.181815147 0.375955462 25.492416382
H 13.144636154 -1.479768515 23.908533096
H 12.192901611 -2.886376619 23.435581207
H 10.361590385 -0.034008611 24.447425842
H 9.870355606 -3.174291134 23.784833908
H 11.671154976 -4.060634136 26.036470413
Cl 8.427257538 -0.620782793 30.014186859
H 8.417766571 -3.962427378 24.410131454
C 9.336711884 -1.493198991 27.312833786
O 7.961730957 1.593446255 28.667184830
C 7.882880688 0.316776782 24.941383362
H 7.519463062 1.979549527 29.429956436
C 8.801774979 -0.182953924 27.397529602
C 6.508530617 -0.228785291 25.307874680
C 8.941946030 0.547235012 26.040594101
O 9.843848228 -2.076784134 28.249176025
C 9.487885475 -3.829191446 24.561040878
C 12.161373138 -1.952785254 23.990148544
H 9.353312492 -3.868508339 26.704032898
H 11.235189438 -0.274905950 26.909828186
C 8.368718147 0.341649234 28.553003311
H 7.735071659 1.288845301 24.467773438
O 11.945014000 -2.131980181 25.340341568
N 10.176100731 0.354510576 25.372875214
O 9.020835876 -1.979758501 26.080343246
H 6.583624363 -1.068871975 25.996503830
H 5.901421070 0.528013051 25.783638000
N 11.378973007 0.294157594 26.079269409
H 6.003954411 -0.556464255 24.392448425
H 8.328059196 -0.359491497 24.209007263
H 11.413933754 -2.702687025 27.154094696
