36
stable:True satoms:36 tatoms:36 sratio:1.0
H 13.496650696 -0.881886840 26.785638809
H 10.552948952 -2.279321432 24.993091583
H 6.557655334 0.636807621 24.252605438
H 11.964673042 -1.228548527 22.666908264
N 11.640797615 -0.710373521 25.809591293
C 9.930805206 -0.495900571 23.967306137
C 5.710418701 -1.948839784 26.217832565
H 4.750885963 -2.116265297 25.710773468
H 4.582832813 -1.993434191 28.106361389
H 5.373126507 0.623469353 25.587759018
O 6.542598724 -1.701756716 28.498180389
C 11.041832924 -1.351991892 24.645425797
O 7.414891243 0.978012204 26.042146683
H 13.503897667 -0.507200956 24.617441177
C 6.397650242 0.323985398 25.295234680
H 6.995286465 0.883003354 26.917789459
H 7.291906357 -1.894269228 27.908395767
C 12.171767235 -1.662778258 23.645774841
H 9.757033348 -0.917236745 22.961717606
H 6.205581665 -2.925602436 26.293470383
H 12.232829094 -2.753394842 23.521970749
O 11.608340263 0.799211800 27.480709076
O 7.990080357 -2.602828503 24.489765167
H 5.183113098 -0.390035421 27.666725159
C 12.576100349 -1.488429308 26.619300842
O 8.685523987 -0.465250313 24.664213181
O 11.966790199 -1.866451979 27.833816528
H 10.254460335 0.545071304 23.912984848
C 11.058054924 0.266734540 26.541219711
N 6.539543152 -1.108634114 25.369077682
H 10.090986252 0.615052104 26.160522461
H 11.978488922 -1.104325175 28.419305801
C 5.437521458 -1.459272861 27.666488647
H 12.862315178 -2.418176651 26.101659775
O 13.456874847 -1.254491210 24.019239426
C 7.784147263 -1.476683259 24.799901962
