36
stable:True satoms:36 tatoms:36 sratio:1.0
H 7.422189713 -4.336830616 22.661586761
C 8.951674461 -3.003523827 22.020492554
H 10.685873985 0.265076250 21.160486221
H 9.411190987 1.222660065 29.815067291
F 11.587827682 -3.952005625 29.101919174
H 9.990838051 -0.228943244 30.690614700
C 9.595941544 1.002491355 26.999086380
C 9.746606827 0.965689540 25.503086090
O 10.012402534 -3.398315907 21.588438034
H 8.260980606 0.105137818 30.559881210
H 7.109346390 -2.373979092 24.032693863
O 11.471077919 -1.917687416 28.288879395
C 7.964599609 -1.726319075 23.908401489
O 9.087506294 -0.599210143 28.874057770
C 9.179018021 0.034185067 24.894987106
H 11.263008118 -1.342408776 21.656160355
C 10.442140579 -1.451024055 27.453399658
C 8.162808418 -0.762255609 24.913501740
H 10.259745598 1.752513170 24.988885880
O 9.454800606 -0.684562027 22.418340683
F 10.308674812 -2.564734936 30.136631012
C 8.786451340 -1.786729336 22.823881149
C 10.393470764 -0.756635487 21.369020462
C 11.420611382 -2.671072483 29.387918472
H 10.168932915 -3.136976957 27.036556244
H 7.718811512 -4.319569588 20.916017532
F 12.422792435 -2.350477219 30.208353043
H 7.469839573 -0.629907906 25.725322723
O 10.130734444 -2.304832697 26.477811813
H 9.947809219 -1.204448104 20.480476379
C 7.639040470 -3.705797195 21.806428909
C 9.761676788 -0.309461415 27.766336441
H 8.559566498 1.322674990 27.176807404
H 10.279289246 1.738000393 27.408941269
H 6.833708763 -2.997544527 21.664203644
C 9.214840889 0.180468619 30.046939850
