31
stable:True satoms:31 tatoms:31 sratio:1.0
H 6.494458675 -1.253611922 25.976709366
H 10.432255745 -1.930855870 25.476192474
H 9.545317650 -3.805719376 26.313671112
H 11.370363235 -1.044544935 22.719699860
H 11.099026680 0.562866628 24.880357742
H 11.239016533 0.192671567 27.097187042
H 9.606081963 0.609656632 24.001615524
H 11.597450256 -2.678804159 23.343914032
H 9.744343758 -3.785692215 24.572698593
H 8.578698158 -4.893618107 25.280595779
C 9.007624626 -3.904678345 25.378942490
H 9.388419151 -1.795534730 24.045412064
O 8.651909828 -1.406124592 27.565078735
C 8.608978271 -0.859110892 26.466669083
O 10.095601082 0.434555739 29.445457458
H 7.803995609 1.552941084 27.672922134
H 7.948786259 1.534688950 29.370189667
C 7.503361702 -1.317988157 25.582881927
H 7.270388126 -3.221113205 26.333219528
C 9.608963013 0.798104227 28.407087326
C 10.296033859 0.756388366 27.049474716
C 7.778779030 -2.894347429 25.432485580
C 11.493552208 -1.637136221 23.628585815
H 10.524006844 1.762372971 26.725370407
C 10.282997131 -1.410960436 24.528146744
N 9.346414566 0.213534147 26.067064285
N 8.367408752 1.338841796 28.475801468
H 12.409638405 -1.328250885 24.118957520
C 10.118862152 0.079931550 24.811069489
H 7.249531746 -3.120489836 24.515445709
H 7.535186291 -0.774136961 24.651102066
