31
stable:True satoms:31 tatoms:31 sratio:1.0
H 9.692632675 -3.544729471 27.138740540
C 8.697040558 -3.460715055 26.730651855
H 11.267755508 -1.523821592 26.485279083
C 11.358542442 -1.748242259 25.433412552
N 10.218675613 -1.649673700 23.100790024
H 11.657062531 0.299318194 25.042594910
H 12.265233040 -0.761405051 23.002897263
C 11.189938545 -0.640835166 23.194648743
O 8.578425407 -0.121822298 23.881387711
H 8.656970978 -3.759370089 25.692882538
H 9.450777054 -2.020480156 23.706604004
O 8.903019905 0.045517154 26.061187744
H 10.822762489 -2.710139036 25.311613083
H 10.868046761 0.146351352 22.491655350
C 8.781303406 -0.668917239 27.237682343
H 6.313954353 0.144445240 27.417512894
H 7.675951481 -0.831627429 29.200000763
N 6.784092903 0.644489467 28.151464462
C 8.001742363 -0.085026041 28.474161148
H 9.748889923 1.284460902 24.716705322
C 9.543436050 0.205126733 24.851915359
H 8.079143524 -4.148229599 27.307498932
H 12.396508217 -1.929314137 25.168737411
C 8.072940826 -2.068029404 26.866977692
O 6.882029057 -1.982860923 26.742422104
H 7.005632401 1.573697805 27.876808167
H 8.710840225 0.570529699 28.990463257
C 10.956501007 -0.456951708 24.663927078
H 9.809433937 -0.921669602 27.518606186
H 10.714876175 -2.554003000 23.018833160
H 7.893297672 -0.552239120 24.455938339
