31
stable:True satoms:31 tatoms:31 sratio:1.0
H 10.190679550 -3.235809326 26.196279526
H 7.544944763 -2.937577963 24.862272263
O 10.100049973 0.395275027 23.557500839
N 11.627614975 -2.311718941 25.090314865
C 8.911202431 -1.538801312 23.996562958
C 11.320644379 -1.139340401 24.844831467
H 12.207697868 0.712927699 24.526144028
C 10.156298637 -0.680345297 24.094297409
C 9.199595451 -2.800511837 26.198270798
O 7.384493351 -0.469209224 25.689945221
H 6.818315506 -1.100775480 23.889505386
C 12.151966095 -0.022627573 25.322559357
H 8.614985466 -3.461435556 26.851137161
H 13.158482552 -0.367220163 25.514848709
H 7.887476921 0.400746584 24.041223526
H 9.471501350 1.364399910 28.198472977
N 9.100756645 0.448076844 28.156627655
C 7.665111065 -0.617153525 24.380243301
C 9.821218491 -0.687996686 27.746049881
H 8.860798836 -1.785088181 22.948581696
H 11.716099739 0.417500317 26.211200714
N 9.176298141 -1.461135983 26.784172058
H 12.298110962 -2.981514454 25.106014252
O 10.904237747 -0.971713901 28.130804062
C 7.734186649 0.124269269 27.955026627
H 7.119136810 0.957327843 27.655746460
H 7.374953747 -0.273452997 28.908414841
C 8.631923676 -2.804240704 24.801372528
C 7.787324429 -0.953701496 26.853227615
H 8.980901718 -3.698363066 24.276575089
H 7.080447197 -1.746955633 27.145774841
