31
stable:True satoms:31 tatoms:31 sratio:1.0
C 6.446759701 -0.256018817 27.202178955
H 11.062821388 -3.613792658 25.212875366
C 7.666365623 -0.705972552 26.832000732
C 11.085799217 -0.350725174 23.810146332
H 11.577877998 -2.336167336 23.615079880
H 12.101682663 -1.154886484 25.939399719
H 11.596948624 -0.250986993 22.844745636
H 12.825577736 -0.112504311 24.690462112
H 9.864758492 -2.025234461 23.288156509
H 9.891199112 -0.323583096 25.848726273
O 10.627353668 -2.214716911 26.510017395
C 7.945923805 -2.162499428 26.683553696
O 8.050051689 -2.379444599 25.288988113
N 11.484366417 -1.144252419 26.774688721
H 10.929859161 -0.730430484 27.586902618
H 5.574686050 -0.810460389 27.491840363
H 8.100296974 2.582155704 27.630193710
N 9.788659096 0.483278483 26.559192657
C 8.611900330 0.428958505 26.862163544
H 5.676782608 1.797117710 27.233657837
C 8.989603996 -3.366878510 25.130542755
H 8.908103943 -3.848493576 24.148908615
H 7.102821350 -2.779817820 26.987693787
C 10.684292793 -1.859043956 23.995525360
C 10.383920670 -2.757842064 25.249965668
C 7.786620140 1.572905183 27.345376968
C 6.535421848 1.151531339 27.310436249
O 11.922781944 0.228737712 24.780517578
H 10.176335335 0.242967576 23.816787720
H 8.825009346 -4.155794621 25.886983871
H 8.772871971 -2.374271631 27.376291275
