31
stable:True satoms:31 tatoms:31 sratio:1.0
C 7.331335068 -1.096923113 25.945259094
C 8.167839050 -2.590720177 24.205923080
C 10.637350082 -2.795824051 24.053623199
H 8.211991310 -2.278517485 23.170301437
C 9.360240936 -3.438294888 24.580940247
H 10.731104851 -0.996631205 26.842567444
H 11.382535934 -3.507832289 23.690505981
N 12.713559151 -0.640288830 23.501356125
H 10.877682686 1.120612979 28.027730942
H 8.621623993 -1.924917102 27.401414871
H 9.250056267 -4.448153973 24.188585281
H 7.097898960 -2.756698847 27.303178787
H 9.349877357 -3.572896719 25.664239883
H 11.118212700 -2.244618177 24.824693680
O 6.550174713 -0.146045014 25.896596909
H 6.155858994 -0.623383224 28.042150497
H 8.266612053 0.598191917 26.925048828
C 9.340585709 0.806607425 26.855581284
O 7.038569450 -0.946123779 28.278425217
C 11.252952576 0.320933938 25.297698975
H 9.414079666 1.678062916 26.199319839
H 7.243159294 -3.151268482 24.362352371
H 10.396926880 -2.137933969 23.220174789
O 11.568934441 1.599113703 25.347267151
O 8.139658928 -1.393582821 24.975067139
H 9.373308182 0.692662299 28.887784958
N 9.867048264 1.189408898 28.158960342
H 11.635320663 1.739071608 26.295543671
C 11.949113846 -0.347198635 24.266593933
C 10.394721985 -0.163738132 26.260305405
C 7.559119225 -1.769240379 27.264820099
