31
stable:True satoms:31 tatoms:31 sratio:1.0
N 8.192173958 -0.912636101 24.703666687
H 9.091309547 -3.069082260 27.104055405
N 11.252322197 -1.454390645 26.479125977
C 10.662442207 -2.329069138 23.430580139
H 10.086408615 1.440255880 25.751911163
H 10.301116943 -1.396845579 23.041158676
C 12.153650284 -2.186748981 23.669376373
N 13.199898720 -2.328433514 23.929935455
C 9.831239700 0.635071993 26.417863846
H 8.818987846 -3.298763037 24.136877060
H 7.442737103 -1.470515251 24.438016891
C 9.685903549 -2.811404705 24.580427170
C 9.192185402 -1.675342083 25.448036194
H 10.696996689 -3.120304585 22.700929642
O 6.886543751 -0.039625466 28.577957153
H 6.189203262 0.590160251 28.485151291
H 7.852095604 1.688278556 26.315313339
H 8.451140404 1.527889490 27.952331543
H 6.841796398 -0.504182220 26.582630157
H 7.550137520 -2.564970732 26.414644241
H 10.953150749 -1.762679219 27.366708755
H 12.237880707 -1.366335869 26.365230560
H 8.706171036 -0.224273771 24.175266266
H 10.408135414 0.702786505 27.327463150
O 8.445999146 -1.251061916 27.713497162
C 8.358731270 1.012213349 26.989070892
C 7.562353611 -0.220992863 27.367372513
C 10.344333649 -0.683926225 25.745189667
H 10.852503777 -0.400788724 24.825254440
H 10.218399048 -3.529958010 25.183650970
C 8.531507492 -2.220491409 26.715305328
