36
stable:True satoms:36 tatoms:36 sratio:1.0
H 6.539716721 -3.479955435 26.808942795
H 9.319079399 -3.289225340 23.505874634
H 9.695908546 -0.856323183 23.833906174
N 10.223995209 -3.113229752 23.891088486
H 12.846043587 0.942265391 24.475879669
H 11.325061798 1.201449633 23.654411316
C 12.127913475 0.489377201 23.799057007
H 12.583346367 0.287380427 22.829092026
C 12.329618454 -1.840871334 23.970930099
H 8.066492081 -3.382296324 25.970829010
O 10.046941757 -4.096844196 25.969011307
C 7.545294762 -1.783747911 27.569978714
H 6.837884903 -2.252899170 25.563282013
H 13.202754021 -1.597104669 23.376171112
H 6.319186211 1.356779933 28.520450592
H 7.464149475 2.569719315 28.989652634
H 6.025183678 2.420173168 29.930704117
C 6.759495735 1.860047340 29.362377167
H 8.266165733 -0.090808466 28.638931274
N 11.670972824 -0.678697288 24.476902008
H 9.976612091 -1.500050068 26.588975906
C 11.363945007 -2.697052240 23.169385910
H 12.651659966 -2.422192097 24.836067200
H 10.050047874 0.137592956 25.266735077
C 8.398664474 0.456157178 26.620437622
C 8.126487732 -0.369099557 27.603507996
H 8.958570480 1.348107576 26.838092804
H 11.079715729 -2.057466745 22.338781357
C 10.273127556 -0.782510698 24.761709213
N 9.767638206 -1.846403480 25.664215088
O 7.088016033 -2.013985872 28.640192032
H 8.001297951 0.374320567 25.629711151
C 10.064295769 -3.094668865 25.263042450
H 7.227198124 1.120619774 29.997753143
H 11.890839577 -3.560394526 22.783012390
C 7.266237259 -2.788304806 26.397172928
