48
stable:True satoms:48 tatoms:48 sratio:1.0
C 7.878827095 -3.787125587 25.838720322
C 9.568913460 -3.842910528 23.965936661
H 9.207945824 -2.545505524 22.477483749
H 10.652443886 0.145490631 24.751882553
H 10.589146614 1.055848479 22.698795319
H 9.916639328 2.707185030 24.408294678
C 11.238361359 -2.491354704 22.279228210
H 12.278771400 -0.853627622 21.302385330
C 12.344110489 -0.686018229 23.345928192
C 7.984951973 -5.095023155 26.025499344
C 9.015666962 -5.787805557 25.399818420
H 7.280542374 -3.125935078 26.420494080
H 9.208133698 -6.773483753 25.751354218
H 13.318579674 -1.185083985 23.356706619
C 6.856260300 -0.681718051 19.719354630
H 5.153806210 0.664860785 19.785102844
H 5.994053364 1.867746592 21.753602982
C 6.652534962 1.289960384 21.132253647
H 6.523436546 -1.468351483 20.387844086
H 12.065185547 -2.953694820 22.816589355
H 11.165449142 -2.926924706 21.283599854
C 11.521995544 -1.012880683 22.075763702
H 12.515566826 0.381677628 23.404405594
H 8.694110870 -0.701241136 22.998106003
O 9.116885185 -1.091699362 20.918966293
C 8.390541077 -0.630229115 19.785886765
O 8.980273247 -0.260636717 18.847030640
H 11.841769218 -1.062195778 24.229883194
N 10.028725624 -2.908884048 22.932962418
H 6.617165089 -0.920377135 18.679235458
C 6.150127411 0.534504235 20.178213120
H 7.740495205 1.337016821 21.337987900
H 8.242146492 2.411683083 23.713943481
H 9.518153191 3.122098684 22.733640671
O 10.341486931 0.730846345 20.886669159
C 9.335969925 2.416692972 23.537530899
N 9.696588516 1.066361904 23.154022217
H 9.072836876 0.691743553 25.168067932
H 8.599231720 -1.416759729 25.862884521
N 9.048756599 -1.006398439 23.911437988
C 10.264594078 -0.426509231 21.290884018
C 9.655448914 0.267789453 24.329324722
C 9.184568405 -1.861600637 25.072813034
H 10.222863197 -1.960615754 25.412567139
H 7.340519905 -5.630285740 26.688787460
C 9.732265472 -5.268367767 24.374177933
C 8.803069115 -3.261061430 24.878787994
H 10.429304123 -5.811495781 23.807641983
