48
stable:True satoms:48 tatoms:48 sratio:1.0
H 12.211923599 -2.100788116 23.918603897
C 9.885178566 -0.363330334 19.838956833
H 8.981875420 1.646437645 18.844524384
H 7.770402908 -0.438691229 24.971733093
C 5.393103123 -3.034179926 27.203372955
H 10.201177597 -2.236418962 21.621376038
H 9.310593605 1.253225327 21.113786697
C 11.987401009 -2.327741861 22.888633728
H 8.835760117 -0.662583947 19.692253113
O 9.898614883 -3.109720945 23.383039474
C 8.857632637 -0.383704543 25.105129242
H 11.846260071 1.793854952 18.770969391
C 5.190055370 -3.092978716 28.597068787
O 9.502490997 1.330845237 18.108076096
N 9.426270485 -1.628206968 25.584505081
H 7.976332664 -2.340723276 23.297187805
H 12.338510513 0.210524380 19.407110214
O 7.203597546 -2.224201202 28.211259842
H 10.476254463 -1.249926209 20.052854538
C 10.233435631 -0.674597263 17.342378616
H 9.838342667 -1.625224113 17.646482468
H 6.550110340 -2.311026096 30.165815353
C 6.669949532 -2.630360603 26.990234375
O 10.507049561 -0.421842456 16.207817078
H 4.679323196 -3.238460302 26.443943024
C 11.812500000 0.718290508 18.607063293
H 12.594124794 -1.714723468 22.221227646
H 12.313420296 0.490182728 17.667226791
H 11.107319832 1.186650157 22.548202515
H 9.112506866 -3.639893293 25.835895538
O 9.170357704 1.238660455 23.512920380
C 10.359903336 0.272261560 18.494377136
C 10.499653816 -2.079192877 22.662788391
H 9.044000626 0.426110268 25.822328568
H 11.815362930 -0.140170902 21.621397018
H 4.324647903 -3.499452829 29.084886551
N 10.015455246 0.581939280 20.908222198
C 8.594136238 -3.078142881 23.831008911
H 6.642723560 -2.359276772 25.022092819
C 6.301226616 -2.539510250 29.150650024
C 8.621709824 -2.795691967 25.335674286
H 9.699652672 -1.555558085 26.554790497
C 9.435126305 0.088607274 23.781864166
N 7.269549370 -2.660713673 25.779335022
H 12.206699371 -3.366088152 22.669715881
N 10.219581604 -0.660831392 22.951948166
H 8.158815384 -4.067629814 23.648700714
C 10.889107704 0.269699633 21.993076324
