31
stable:True satoms:31 tatoms:31 sratio:1.0
C 7.179929733 -2.335315466 25.084972382
H 7.030638695 -3.660696507 23.585815430
C 9.412262917 2.975105762 27.490489960
H 9.767534256 -2.902040720 23.750341415
H 10.472132683 -4.744140148 26.751909256
H 8.067443848 3.409513474 25.891408920
O 9.190041542 -4.340716362 25.208459854
H 9.614989281 2.062493324 28.056007385
O 5.983454227 -2.346759319 25.272005081
H 11.102540016 -0.800622582 25.825107574
H 9.127429962 -3.000652313 27.536230087
C 9.246783257 -1.586583614 26.045343399
C 9.971410751 0.775770128 25.846164703
C 8.956159592 2.814523220 26.081756592
H 8.977813721 4.243802547 28.819257736
H 10.755069733 -2.321268559 27.329639435
H 12.284407616 -3.753903151 25.428846359
H 11.302927971 -4.667139530 24.324157715
N 11.389893532 -4.002068996 25.077638626
H 9.750397682 3.133334637 25.392822266
C 9.871775627 -2.694155216 26.807943344
C 10.290864944 -3.976735115 25.979751587
H 7.894879341 0.913177431 25.846778870
N 10.105875015 -0.591677964 25.746576309
O 11.035307884 1.376075149 25.903600693
N 7.974718571 -1.495512247 25.827314377
N 7.733820438 -3.091735125 24.053222656
C 9.041177750 -3.696997643 23.973407745
N 9.591543198 4.121079922 28.028387070
N 8.748080254 1.414062262 25.792867661
H 9.126148224 -4.456384182 23.175790787
