31
stable:True satoms:31 tatoms:31 sratio:1.0
H 12.721678734 0.347596675 24.623031616
H 7.788359642 -2.314006329 24.220838547
H 6.444643021 -2.685224533 29.774854660
C 8.449092865 -1.036586285 26.874963760
H 6.556288719 -2.472274542 27.969125748
H 10.025498390 -2.183972836 23.004438400
C 8.744203568 -2.471820831 24.728685379
C 9.063309669 -1.469900608 27.995973587
H 9.009838104 1.472821712 26.305387497
H 11.097539902 -1.750977516 25.986572266
C 10.819827080 0.329054713 25.658752441
H 8.988208771 0.012156866 23.657104492
H 7.636122704 0.356241345 24.707946777
H 11.495298386 -0.688021600 23.865951538
C 9.541572571 1.172972918 25.410400391
C 8.691489220 0.115536660 24.693096161
H 11.378027916 1.072429299 23.705112457
H 8.825337410 -2.202626467 29.987533569
H 10.676054001 -3.321673870 24.178598404
H 9.336398125 -3.799989223 23.157756805
N 10.447484970 -1.036689878 25.837911606
H 7.519059658 -0.511450529 26.948942184
C 9.051290512 -1.156998277 25.507638931
H 10.123006821 -1.371501803 28.126352310
C 9.768284798 -2.966502428 23.706289291
C 7.040307999 -2.421080351 28.925426483
H 11.318368912 0.703555346 26.562667847
C 11.659914970 0.272339314 24.370580673
H 8.609336853 -3.267342329 25.456604004
H 9.851605415 2.104757309 24.927867889
C 8.320000648 -2.056987524 29.057601929
