31
stable:True satoms:31 tatoms:31 sratio:1.0
C 10.922408104 -2.731354952 25.715454102
H 10.613348961 0.515605986 24.949573517
H 8.674636841 0.934672773 23.791912079
H 8.964038849 -5.145846367 26.751922607
C 8.319029808 1.058503389 24.824781418
H 5.272858620 0.115903631 26.874893188
N 8.195159912 -1.357280850 26.433187485
H 10.088024139 -4.266981602 27.769153595
H 9.035927773 -3.545437098 25.241291046
O 6.168460369 -2.350853205 26.506454468
H 6.938353062 0.745922863 26.978788376
C 6.809038162 1.521856904 24.705963135
N 9.689171791 -4.467405319 26.859689713
C 13.381753922 -1.143611193 26.307594299
C 10.685050011 -1.423020601 25.633729935
C 13.036473274 -2.096278191 25.337039948
O 6.094761372 0.402701855 25.054393768
O 12.157862663 -3.232364416 25.548683167
N 9.864577293 -3.573700428 25.858215332
O 12.473307610 -0.834831119 25.384622574
H 13.177371979 -1.355619550 27.379970551
H 13.769495010 -2.470265388 24.570238113
H 6.516426563 1.787340641 23.679998398
H 8.857182503 1.861076951 25.351413727
C 6.256907940 0.065890059 26.421131134
H 14.340043068 -0.563668430 26.264675140
H 8.498217583 -2.180809498 26.990251541
C 10.088297844 -0.342743427 25.373546600
N 8.696918488 -0.216573417 25.553386688
H 6.602512836 2.389894962 25.351200104
C 6.809835911 -1.326889396 26.470846176
