31
stable:True satoms:31 tatoms:31 sratio:1.0
C 8.122010231 0.429050684 27.023584366
H 10.979580879 -0.295315832 25.704637527
H 8.873314857 1.064243555 21.659006119
O 9.399493217 -0.141571239 26.932067871
C 10.622690201 -2.919359446 26.202026367
H 8.825154305 1.498238921 24.763128281
H 7.690814972 0.803711176 22.951278687
O 10.837471962 1.010385752 22.969682693
C 9.738674164 0.244487658 23.429395676
N 9.414549828 0.680431306 24.740398407
H 8.143358231 1.524681807 26.997383118
C 9.580621719 -3.700955153 25.682708740
Cl 7.179067612 -2.877526760 26.570016861
C 9.370236397 -2.812370300 28.855104446
C 10.188233376 0.431750506 25.913887024
H 7.474068642 0.055095203 26.232032776
H 10.623900414 1.352674246 26.323110580
H 9.745941162 -4.199596882 24.739892960
C 10.560416222 -2.966993809 27.785711288
H 8.522749901 -3.508087635 28.753641129
H 7.735494614 0.102947906 27.994806290
H 9.002359390 -1.809407949 28.812116623
H 10.012418747 -0.822159052 23.459003448
H 11.419446945 1.034881711 23.717416763
H 8.504972458 -4.853456020 27.050756454
H 8.297477722 -0.559021771 22.039823532
O 11.534389496 -2.345006704 25.637905121
O 11.660842896 -3.083312035 28.252719879
H 9.853220940 -3.019061804 29.808105469
C 8.521057129 -3.946911335 26.470237732
C 8.563430786 0.401368290 22.462425232
